nta_code,nta_name,population,source,source_url
BK0101,Greenpoint,38980,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0102,Williamsburg,64444,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0103,South Williamsburg,47703,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0104,East Williamsburg,52998,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0201,Brooklyn Heights,25092,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,40968,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0203,Fort Greene,32938,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0204,Clinton Hill,28647,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0301,Bedford-Stuyvesant (West),89189,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0302,Bedford-Stuyvesant (East),84653,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0401,Bushwick (West),58692,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0402,Bushwick (East),62055,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0501,Cypress Hills,43263,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0502,East New York (North),42818,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0503,East New York-New Lots,53004,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0504,Spring Creek-Starrett City,17038,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0505,East New York-City Line,45559,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,59166,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0602,Park Slope,57405,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0701,Windsor Terrace-South Slope,23622,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0702,Sunset Park (West),54473,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0703,Sunset Park (Central),55611,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0801,Prospect Heights,23515,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0802,Crown Heights (North),85275,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0901,Crown Heights (South),50605,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK0902,Prospect Lefferts Gardens-Wingate,49513,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1001,Bay Ridge,86866,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1002,Dyker Heights,46756,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1101,Bensonhurst,104934,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1102,Bath Beach,33079,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1103,Gravesend (West),60523,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1201,Sunset Park (East)-Borough Park (West),35632,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1202,Borough Park,93905,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1203,Kensington,41758,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1204,Mapleton-Midwood (West),39137,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1301,Gravesend (South),30366,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1302,Coney Island-Sea Gate,49517,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1303,Brighton Beach,33568,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1401,Flatbush,66503,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1402,Flatbush (West)-Ditmas Park-Parkville,43016,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1403,Midwood,52891,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1501,Gravesend (East)-Homecrest,52797,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1502,Madison,41466,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,69084,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1601,Ocean Hill,37952,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1602,Brownsville,60470,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1701,East Flatbush-Erasmus,47690,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1702,East Flatbush-Farragut,34317,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1703,East Flatbush-Rugby,42794,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1704,East Flatbush-Remsen Village,39115,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1801,Flatlands,67087,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1802,Marine Park-Mill Basin-Bergen Beach,46959,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BK1803,Canarsie,89937,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0101,Mott Haven-Port Morris,57718,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0102,Melrose,42651,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0201,Hunts Point,15131,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0202,Longwood,40289,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0301,Morrisania,37607,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0302,Claremont Village-Claremont (East),24553,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0303,Crotona Park East,30158,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0401,Concourse-Concourse Village,69393,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0402,Highbridge,32475,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0403,Mount Eden-Claremont (West),49661,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0501,University Heights (South)-Morris Heights,54682,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0502,Mount Hope,49099,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0503,Fordham Heights,32099,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0601,West Farms,20158,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0602,Tremont,32184,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0603,Belmont,35830,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0701,University Heights (North)-Fordham,46538,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0702,Bedford Park,55521,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0703,Norwood,43468,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0801,Kingsbridge Heights-Van Cortlandt Village,35777,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0802,Kingsbridge-Marble Hill,22807,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0803,Riverdale-Spuyten Duyvil,50877,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0901,Soundview-Bruckner-Bronx River,74342,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0902,Soundview-Clason Point,37303,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0903,Castle Hill-Unionport,41420,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX0904,Parkchester,33602,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1001,Westchester Square,17653,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1002,Throgs Neck-Schuylerville,48127,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1003,Pelham Bay-Country Club-City Island,29482,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1004,Co-op City,37369,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1101,Pelham Parkway-Van Nest,32425,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1102,Morris Park,25086,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1103,Pelham Gardens,29402,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1104,Allerton,34626,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1201,Williamsbridge-Olinville,61396,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1202,Eastchester-Edenwald-Baychester,52927,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
BX1203,Wakefield-Woodlawn,50295,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0101,Financial District-Battery Park City,52995,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0102,Tribeca-Civic Center,25390,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0201,SoHo-Little Italy-Hudson Square,23287,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0202,Greenwich Village,34147,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0203,West Village,35011,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0301,Chinatown-Two Bridges,42556,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0302,Lower East Side,49149,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0303,East Village,71436,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN0401,Chelsea-Hudson Yards,69741,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
